"uid","pay","profit","round"
235141,6250,118750,1
242841,6250,-4000,1
276441,6250,-6250,1
293004,6250,-6250,1
"uid","pay","profit","round"
243976,6250,30000,1
257594,6250,3750,1
253120,6250,243750,1
292851,6250,-3750,1
258426,6250,-1250,1
250279,6250,-6250,1
"uid","pay","profit","round"
"uid","pay","profit","round"
281351,6250,-6250,1
211561,6250,3750,1
"uid","pay","profit","round"
275936,6250,47750,1
279843,6250,-4750,1
270137,6250,-5500,1
234842,6250,-3750,1
205892,6250,-6250,1
294732,6250,-6250,1
"uid","pay","profit","round"
223128,6250,-6250,1
200369,6250,-6250,1
277246,6250,-4750,1
253860,6250,-6250,1
203618,6250,-6250,1
239789,6250,-1250,1
"uid","pay","profit","round"
252648,6250,-6250,1
224412,6250,-6250,1
243093,6250,0,1
281305,6250,-6250,1
200847,6250,-6250,1
202051,6250,-6250,1
"uid","pay","profit","round"
221999,6250,-6250,1
299099,6250,-3250,1
290441,6250,-6250,1
282491,6250,-250,1
282919,6250,-3750,1
208558,6250,-6250,1
"uid","pay","profit","round"
"uid","pay","profit","round"
224709,6250,-4000,1
212938,6250,-6250,1
253515,6250,6250,1
274947,6250,-6250,1
230206,6250,2500,1
272774,6250,-3750,1
"uid","pay","profit","round"
240031,6250,-6250,1
238979,6250,118750,1
202475,6250,-6250,1
299178,6250,32750,1
262797,6250,-6250,1
268516,6250,-6250,1
279141,6250,-6250,1
256441,6250,-6250,1
235044,6250,-6250,1
250327,6250,-6250,1
215139,6250,-6250,1
236136,6250,-3750,1
221290,6250,-6250,1
205930,6250,500,1
203362,6250,-6250,1
213421,6250,-6250,1
233046,6250,93750,1
276746,6250,-6250,1
239604,6250,-2500,1
295368,6250,-6250,1
240031,1250,-6700,2
250164,6250,-6250,1
236098,6250,-1250,1
202475,6250,-12500,2
254909,6250,-6250,1
256242,6250,-6250,1
262797,6250,37500,2
287636,6250,-1250,1
268516,6250,-12500,2
211039,6250,-6250,1
279141,6250,-12500,2
232238,6250,-5000,1
256441,6250,-12500,2
218762,6250,-6250,1
235044,6250,-12500,2
254802,6250,-6250,1
250327,1250,-5500,2
271071,6250,-3750,1
215139,1250,-6500,2
236153,6250,-4750,1
238778,6250,-6250,1
221290,6250,-12500,2
265834,6250,-1250,1
253488,6250,-6250,1
203362,1250,-7500,2
290914,6250,6250,1
213421,6250,-12500,2
215863,6250,-6250,1
254935,6250,1250,1
238979,6250,113750,2
299178,6250,29000,2
276746,6250,-8000,2
212063,6250,-4750,1
291057,6250,-6250,1
295368,6250,23750,2
245454,6250,30000,1
250164,6250,4750,2
228409,6250,-2750,1
228620,6250,-6250,1
202475,6250,-18750,3
254909,6250,106750,2
270177,6250,-6250,1
256242,6250,-12500,2
221078,6250,-6250,1
263411,6250,-2250,1
268516,6250,-18750,3
205930,6250,119250,2
211039,6250,-8500,2
234893,6250,-5000,1
279141,6250,-18750,3
234633,6250,13750,1
256441,6250,26250,3
236136,6250,-10000,2
218762,6250,-12500,2
253732,6250,-6250,1
235044,6250,-14250,3
254802,6250,-12500,2
223733,6250,-6250,1
205648,6250,-1250,1
239604,6250,-8750,2
254595,6250,-6250,1
238778,6250,-8000,2
244930,6250,-6250,1
233046,6250,89750,2
221290,6250,31250,3
212778,6250,500,1
253488,6250,-12500,2
287045,6250,-6250,1
262797,6250,31250,3
203362,1250,-7900,3
228241,6250,-6250,1
213421,6250,31250,3
215863,6250,-12500,2
274405,6250,-6250,1
296186,6250,46000,1
236697,6250,-6250,1
291057,6250,2500,2
228908,6250,0,1
271071,6250,-7750,2
215008,6250,-6250,1
240031,1250,-7950,3
287636,6250,1500,2
236153,6250,-11000,2
200573,6250,-250,1
236098,6250,42500,2
228620,6250,52500,2
205317,6250,-6250,1
202475,6250,-16750,4
232238,6250,-11250,2
270177,1250,-7500,2
284306,6250,-6250,1
256242,6250,-18750,3
221078,6250,-11250,2
247438,6250,25250,1
270260,6250,-4750,1
268516,6250,5000,4
214802,6250,-6250,1
279141,6250,-25000,4
207379,6250,-6250,1
236136,6250,133750,3
218762,6250,-15750,3
253732,6250,-12500,2
225077,6250,-3250,1
254802,6250,-18750,3
290914,6250,0,2
254935,6250,-2000,2
223733,6250,-12500,2
260363,6250,120000,1
250327,1250,-6000,3
288720,6250,12500,1
215139,1250,-1500,3
250164,6250,-1500,3
239604,6250,-13500,3
254595,6250,-12500,2
218502,6250,-6250,1
276746,6250,-14250,3
212063,6250,-9750,2
245454,6250,28750,2
244930,6250,-12500,2
296697,6250,-6250,1
254909,6250,100500,3
265834,6250,-4500,2
228409,6250,-9000,2
297972,6250,-6250,1
253488,6250,14250,3
287045,6250,-12500,2
262797,6250,25000,4
249300,6250,-6250,1
228241,6250,-12500,2
238979,6250,107500,3
270826,6250,-5000,1
215863,6250,-16500,3
234893,6250,-1250,2
274405,6250,3750,2
220688,6250,-6250,1
234633,6250,7500,2
299178,6250,37750,3
232187,6250,-6250,1
295368,6250,17500,3
236697,6250,-12500,2
215872,6250,13250,1
263411,6250,-6000,2
215452,6250,-6250,1
211039,6250,-14750,3
215008,6250,-12500,2
240031,1250,-9200,4
235044,6250,-20500,4
202940,6250,-6250,1
236153,6250,5250,3
205930,6250,116750,3
262917,6250,-6250,1
205317,1250,-7500,2
277853,6250,-3250,1
232238,6250,-17500,3
270177,1250,-8750,3
284306,6250,-12500,2
289862,6250,11750,1
256242,6250,-25000,4
233046,6250,83500,3
237524,6250,33750,1
245231,6250,-6250,1
213421,6250,31250,4
214802,6250,-12500,2
279141,6250,28750,5
273673,6250,-6250,1
207379,1250,-6500,2
256441,6250,21250,4
282695,6250,25250,1
238778,6250,-14250,3
253732,6250,-18750,3
221290,6250,29500,4
223580,6250,-5000,1
254802,6250,-25000,4
290914,6250,-6250,3
223733,6250,-18750,3
296186,6250,61000,2
248395,6250,-6250,1
205648,6250,-7500,2
250164,6250,-7750,4
233102,6250,-6250,1
212778,6250,-2750,2
254595,6250,-13750,3
218502,6250,-12500,2
236098,6250,36250,3
276746,6250,-15500,4
250815,6250,-6250,1
244930,6250,-18750,3
296697,6250,12500,2
254909,6250,95750,4
224164,6250,-6250,1
228409,6250,-15250,3
291057,6250,1500,3
297972,6250,-12500,2
211685,6250,-4000,1
221078,6250,-17500,3
287045,6250,-13750,3
262797,6250,18750,5
203362,1250,-9150,4
287636,6250,-3250,3
205958,6250,-1250,1
249300,6250,-12500,2
228908,6250,-6250,2
228241,6250,-18750,3
238979,6250,101250,4
271071,6250,-14000,3
239440,6250,-6250,1
220688,6250,-12500,2
297473,6250,-6250,1
234633,6250,11250,3
232187,6250,-12500,2
268516,6250,-1250,5
295368,6250,12000,4
