"uid","profit","round"
"21051732",-6250,1
"20392832",-5500,1
"27045962",-5000,1
"21051732",-12500,2
"27045962",-10000,2
"20392832",-11750,2
"uid","profit","round"
"24698202",53750,1
"29014782",-6250,1
"28684082",-6250,1
"26132782",-3250,1
"21866772",13750,1
"21535822",-6250,1
"21916432",-6250,1
"20101152",-2500,1
"28785922",-6250,1
"24702212",83750,1
"29076492",-6250,1
"22201152",-6250,1
"26285332",-3500,1
"20359162",-6250,1
"20431692",-6250,1
"27603682",-6250,1
"22023022",-4250,1
"29333152",-6250,1
"21222652",-1250,1
"23348242",-6250,1
"27544292",-6250,1
"21499622",-6250,1
"28734812",13750,1
"22493762",25000,1
"23735012",-4750,1
"28774422",3750,1
"27088022",-6250,1
"24226162",-6250,1
"25902682",-6250,1
"20558372",-6250,1
"29014782",-12500,2
"28684082",-12500,2
"21535822",-12500,2
"21916432",-12500,2
"28785922",-11750,2
"29076492",-6500,2
"22201152",-12500,2
"20359162",-12500,2
"20431692",-12500,2
"27603682",32500,2
"29333152",-12500,2
"23348242",-12500,2
"27544292",-12500,2
"21499622",-7500,2
"27088022",-12500,2
"24226162",-5000,2
"25902682",-12500,2
"20558372",-12500,2
"24698202",47500,2
"28734812",7500,2
"22493762",18750,2
"23735012",-4750,2
"20101152",-8750,2
"21222652",-7500,2
"28774422",-2500,2
"22023022",-9000,2
"26285332",-9750,2
"26132782",-7250,2
"21866772",7500,2
"24702212",77500,2
"29014782",-18750,3
"28684082",-8000,3
"21535822",-13750,3
"21916432",-18750,3
"22201152",-18750,3
"20359162",-18750,3
"20431692",-12500,3
"29333152",-16250,3
"23348242",-13750,3
"27544292",-17250,3
"21499622",-8750,3
"27088022",-18750,3
"25902682",-18750,3
"20558372",-18750,3
"24698202",41250,3
"27603682",26250,3
"28734812",1250,3
"22493762",12500,3
"20101152",-15000,3
"21222652",-13750,3
"28774422",-8750,3
"28785922",-18000,3
"26285332",-13500,3
"24226162",-8750,3
"21866772",3750,3
"24702212",72750,3
"29076492",-10250,3
"29014782",-22000,4
"21916432",14000,4
"22201152",-25000,4
"20359162",-15000,4
"21499622",-9375,4
"27088022",-14250,4
"25902682",-25000,4
"20558372",-22000,4
"23735012",-11000,3
"24698202",45000,4
"28684082",-14250,4
"27603682",20000,4
"28734812",-2500,4
"22493762",6250,4
"20101152",11750,4
"22023022",-15250,3
"21222652",-20000,4
"21535822",-20000,4
"28774422",-15000,4
"29333152",-20000,4
"uid","profit","round"
"uid","profit","round"
"uid","profit","round"
"uid","profit","round"
"uid","profit","round"
"243262",-4750,1
"257157",-6250,1
"282558",-6250,1
"210858",-6250,1
"225618",-6250,1
"255144",-6250,1
"293157",-6250,1
"241999",-6250,1
"217284",30000,1
"243757",-6250,1
"276438",-6250,1
"237183",-6250,1
"224066",15000,1
"227586",-6250,1
"267577",-6250,1
"214206",-5500,1
"243252",-6250,1
"229682",-6250,1
"285829",-3250,1
"234584",-3750,1
"215664",-6250,1
"264740",-2500,1
"257157",-12500,2
"224622",-6250,1
"282558",-12500,2
"297984",-6250,1
"210858",-7500,2
"225618",22500,2
"232725",113750,1
"255144",-12500,2
"257386",-6250,1
"293157",-12500,2
"241999",-7500,2
"243757",-12500,2
"276438",7500,2
"237183",17500,2
"227586",-12500,2
"267577",-12500,2
"243252",-12500,2
"229682",-10000,2
"229345",1750,1
"243262",-11000,2
"215664",-12500,2
"257157",-18750,3
"224622",-12500,2
"282558",-18750,3
"217284",23750,2
"266054",-6250,1
"210858",-8750,3
"297984",-12500,2
"257386",-12500,2
"255144",81250,3
"214206",19750,2
"205401",-6250,1
"224066",13750,2
"241999",-8750,3
"293157",-18750,3
"243757",-18750,3
"234584",-10000,2
"264740",36250,2
"232725",107500,2
"285829",6250,2
"227586",-18750,3
"243262",-17250,3
"257157",-25000,4
"225618",16250,3
"276438",1250,3
"237183",11250,3
"215664",-18750,3
"229345",121750,2
"285515",-6250,1
"294049",-6250,1
"241474",-5500,1
"229893",-4000,1
"243252",-18750,3
"267577",-18750,3
"229682",-16250,3
"266054",-12500,2
"217284",17500,3
"282558",-22500,4
"297984",-18750,3
"224622",-18000,3
"210858",-9375,4
"205401",-12500,2
"257386",-18750,3
"284429",-4000,1
"297002",1250,1
"255144",75000,4
"214206",13500,3
"224066",13500,3
"293157",-15000,4
"241999",-9375,4
"243757",-25000,4
"uid","profit","round"
"uid","profit","round"
"247161",-6250,1
"231112",-6250,1
"297103",-3750,1
"221670",-5000,1
"278886",-6250,1
"224755",-6250,1
"224265",-6250,1
"210137",-6250,1
"251964",-6250,1
"285093",-4250,1
"295391",9500,1
"247161",30000,2
"236300",-3750,1
"231112",-11250,2
"225182",-6250,1
"253962",-6250,1
"278886",-12500,2
"253159",-1250,1
"209317",-6250,1
"224755",-6600,2
"246199",47250,1
"224265",-12500,2
"210137",-12500,2
"260875",-6250,1
"268795",-6250,1
"251964",3250,2
"278583",-6250,1
"299053",123750,1
"211594",-6250,1
"297103",-10000,2
"225182",-12500,2
"202394",-6250,1
"253962",-12500,2
"221670",-6250,2
"291306",500,1
"238001",-4000,1
"278886",-18750,3
"209317",-12500,2
"297063",-6250,1
"247161",25000,3
"295391",3250,2
"258313",-6250,1
"224265",-18000,3
"210137",-18750,3
"266765",-6250,1
"260875",-7500,2
"268795",-12500,2
"269195",-6250,1
"285093",-5250,2
"278583",-9250,2
"294466",-1250,1
"236300",-6750,2
"226904",-4000,1
"231112",-17500,3
"297103",-16250,3
"211594",18750,2
"253159",57500,2
"268437",-6250,1
"225182",-18750,3
"202394",-12500,2
"228603",-1250,1
"253962",-14250,3
"221670",-7500,3
"282813",-6250,1
"291500",-6250,1
"278886",-22250,4
"224755",-7850,3
"209317",-13750,3
"251964",5250,3
"297063",-12500,2
"278102",-6250,1
"246199",56000,2
"295391",9000,3
"258313",-7500,2
"269593",-1250,1
"299053",117500,2
"225908",25000,1
"210137",-24250,4
"266765",6250,2
"268795",-18750,3
"228196",1250,1
"269195",-10000,2
"204766",-6250,1
"238001",-10250,2
"280114",20000,1
"264115",-6250,1
"231112",-23750,4
"297103",-21250,4
"268437",-7500,2
"225182",34000,4
"202394",-18750,3
"287650",-1250,1
"247161",23750,4
"291306",750,2
"221670",-8750,4
"282813",-7500,2
"231302",-6250,1
"288947",-3750,1
"278583",-15500,3
"291500",-12500,2
"224265",-23500,4
"272546",16250,1
"224755",-9100,4
"297063",-18750,3
"294466",-7500,2
"278102",-12500,2
"227424",-6250,1
"258313",-8750,3
"260875",-13750,3
"299053",111250,3
"226904",-10250,2
"228603",-7500,2
"211097",-6250,1
"253159",51250,3
"236300",-13000,3
"253962",4500,4
"284573",-500,1
"268795",-3500,4
"211594",12500,3
"285093",-6500,3
"288647",-6250,1
