"uid","pay","profit","round","jackpotFund","runningPool","profitPool"
270708,6250,-6250,1,625,5312.5,
287603,25000,69000,1,2500,21250,
236883,25000,-25000,1,625,1562.5,
261311,250000,-180000,1,625,1562.5,
286083,6250,-2500,1,625,1562.5,
292366,25000,-25000,1,2500,21250,
"uid","pay","profit","round","jackpotFund","runningPool","profitPool"
216351,25000,-25000,1,625,5312.5,
227182,6250,-6250,1,625,5312.5,
278420,25000,-25000,1,2500,21250,
206612,250000,-250000,1,625,5312.5,
200894,6250,-6250,1,625,5312.5,
267870,25000,-25000,1,625,5312.5,
216351,25000,-38000,2,1250,9125,
227182,1250,-7150,2,1250,9125,
278420,6250,-29750,2,1250,9125,
206612,250000,4350000,2,3125,26562.5,
200894,1250,-5700,2,3125,26562.5,
267870,25000,-50000,2,3125,26562.5,
267870,25000,-75000,3,5625,47812.5,
278420,6250,-32000,3,3750,27875,
216351,25000,-63000,3,28125,239062.5,
227182,1250,-8400,3,28125,239062.5,
206612,250000,4100000,3,28125,239062.5,
200894,1250,-6950,3,5750,48875,
267870,6250,-81250,4,6375,54187.5,
216351,25000,-88000,4,8250,70125,
227182,1250,-9300,4,30750,-98625,
206612,250000,4210000,4,30750,-98625,
200894,1250,-8200,4,5875,49937.5,
278420,6250,-35250,4,7000,56500,
267870,6250,42500,5,7625,-68187.5,
216351,6250,-92250,5,7625,59812.5,
200894,1250,-9450,5,7750,-67125,
206612,250000,3960000,5,32625,272312.5,
227182,125,-9425,5,7637.5,59918.75,
278420,6250,-41500,5,8250,65125,
267870,100000,-57500,6,18250,150125,
200894,125,-9575,6,8262.5,65231.25,
216351,6250,-98500,6,8875,70437.5,
227182,125,-9550,6,8262.5,65231.25,
206612,250000,3790000,6,8262.5,65231.25,
278420,6250,47000,6,5137.5,-20456.25,
267870,25000,-57500,7,10762.5,61481.25,
200894,125,-9700,7,5150,-20350,
216351,1250,-99750,7,5262.5,-19393.75,
227182,125,-9605,7,5150,-20420,
206612,250000,3540000,7,30150,192150,
278420,25000,22000,7,7650,830,
200894,125,-9555,8,5012.5,-20433.75,
267870,25000,-82500,8,30162.5,192256.25,
216351,125,-99875,8,30162.5,192256.25,
227182,125,-9730,8,30175,192362.5,
206612,250000,3290000,8,55162.5,404756.25,
278420,25000,-3000,8,32662.5,213506.25,
267870,6250,-88750,9,55787.5,410068.75,
216351,75,-99950,9,55170,404820,
200894,125,-9490,9,32675,213422.5,
227182,125,-9735,9,55182.5,404806.25,
206612,250000,3620000,9,80170,37320,
278420,25000,-28000,9,35175,234672.5,
267870,6250,-93500,10,55187,404844.5,
216351,45,-99995,10,55187,404844.5,
200894,125,-9420,10,55199.5,404755.75,
278420,6250,-34250,10,55812,410157,
227182,125,-9860,10,80187,617344.5,
206612,250000,3370000,10,80187,617344.5,
216351,25000,-124995,11,57699.5,426005.75,
267870,1250,-94750,11,80312,618407,
278420,6250,-40500,11,58324.5,431318.25,
200894,125,-9545,11,57712,426112,
227182,125,-9985,11,82699.5,498505.75,
206612,250000,3260000,11,82699.5,498505.75,
216351,25000,-149995,12,60824.5,452568.25,
267870,1250,-96000,12,82824.5,499568.25,
278420,6250,-39750,12,61449.5,450880.75,
200894,125,-9670,12,60837,452674.5,
227182,6250,-16235,12,61449.5,457880.75,
216351,25000,-174995,13,107824.5,712068.25,
206612,250000,3010000,12,107824.5,712068.25,
267870,1250,-87550,13,61074.5,449743.25,
200894,125,-9795,13,107837,712174.5,
227182,1250,-15935,13,61199.5,449255.75,
278420,6250,-46000,13,61699.5,455055.75,
216351,6250,-179745,14,86074.5,302243.25,
206612,250000,3120000,13,86074.5,302243.25,
267870,6250,-87800,14,62324.5,454368.25,
200894,125,-9920,14,86087,302349.5,
278420,1250,-46450,14,62449.5,454630.75,
227182,1250,-16585,14,86212,302812,
206612,250000,2870000,14,111087,514849.5,
216351,6250,-185995,15,86712,307662,
267870,6250,-92550,15,63074.5,458443.25,
200894,75,-9995,15,86219.5,302875.75,
206612,250000,5470000,15,111219.5,-2334624.25,
278420,1250,-47700,15,86344.5,303938.25,
216351,6250,-192245,16,86844.5,308188.25,
227182,1250,-17835,15,86344.5,303938.25,
200894,6250,-13745,16,84344.5,308188.25,
267870,6250,-98800,16,87469.5,313500.75,
278420,1250,-48950,16,84969.5,313500.75,
216351,6250,-198495,17,84969.5,313500.75,
227182,1250,-19085,16,87594.5,314563.25,
206612,250000,5220000,16,112469.5,526000.75,
267870,125,-98925,17,87607,314669.5,
200894,1250,-14995,17,87719.5,315625.75,
278420,125,-49075,17,112594.5,527063.25,
216351,1250,-199745,18,112594.5,527063.25,
227182,125,-19210,17,87732,315732,
206612,250000,4970000,17,137594.5,739563.25,
267870,125,-99050,18,87744.5,315838.25,
200894,1250,-16245,18,87857,316794.5,
278420,125,-49200,18,137607,739669.5,
216351,125,-199870,19,137607,739669.5,
227182,125,-19240,18,87869.5,316805.75,
206612,250000,4720000,18,112857,529294.5,
267870,125,-99175,19,137732,740732,
200894,1250,-17495,19,137732,740732,
278420,125,-49325,19,112464.5,528763.25,
216351,75,-198950,20,112464.5,528763.25,
206612,250000,4590000,19,137464.5,621263.25,
227182,125,-19365,19,112477,528869.5,
267870,125,-99300,20,112589.5,529825.75,
200894,1250,-18745,20,112589.5,529825.75,
278420,125,-49420,20,137477,621339.5,
216351,125,-199040,21,137489.5,621410.75,
227182,125,-19215,20,162477,593839.5,
206612,250000,4580000,20,162477,593839.5,
267870,125,-99365,21,137502,621297,
200894,125,-18650,21,137502,621297,
278420,125,-49545,21,137514.5,621403.25,
216351,125,-199165,22,137527,621509.5,
206612,250000,4330000,21,162514.5,833903.25,
227182,125,-19340,21,137527,621509.5,
267870,125,-99450,22,137639.5,609565.75,
200894,1250,-7000,22,137639.5,609565.75,
278420,125,-49670,22,137539.5,621615.75,
216351,125,-199090,23,137552,621522,
206612,250000,4080000,22,137552,621722,
227182,125,-19465,22,137552,621722,
278420,125,-49280,23,137564.5,621113.25,
267870,125,-99575,23,138177,627034.5,
200894,6250,-13250,23,138177,627034.5,
206612,250000,5360000,23,138189.5,627140.75,
227182,125,-19590,23,138189.5,627140.75,
216351,125,-199030,24,138114.5,627030.75,
267870,125,-99625,24,135064.5,630953.25,
200894,6250,-14250,24,135064.5,630953.25,
278420,125,-49185,24,138127,626917,
227182,125,-19715,24,135077,631059.5,
206612,250000,5110000,24,163127,839417,
216351,125,-199155,25,163139.5,839523.25,
267870,125,-99750,25,163252,837779.5,
200894,1250,-12800,25,163252,837779.5,
227182,125,-19840,25,163139.5,839523.25,
206612,250000,4930000,25,188139.5,982023.25,
278420,125,-49160,25,163152,839479.5,
216351,125,-199280,26,163164.5,839585.75,
267870,125,-99875,26,163164.5,839585.75,
227182,125,-19935,26,163164.5,839555.75,
200894,6250,-16050,26,163789.5,841868.25,
216351,125,-199365,27,163177,839622,
206612,250000,4680000,26,163802,841824.5,
278420,125,-49135,26,163802,841824.5,
267870,75,-99950,27,163797,841932,
227182,45,-19980,27,163801.5,841970.25,
206612,250000,4430000,27,163922,842694.5,
267870,45,-99995,28,163922,842694.5,
200894,1250,-17000,27,163922,842694.5,
216351,125,-199335,28,163814,841921.5,
