"robotIndex","round","win","cost"
1,1,0,20
1,2,0,20
1,3,32,20
1,4,26,20
1,5,0,20
1,6,50,20
1,7,0,20
1,8,34,20
1,9,0,20
1,10,36,20
1,11,0,20
1,12,22,20
1,13,0,20
1,14,0,20
1,15,46,20
1,16,0,20
1,17,202,20
1,18,0,20
1,19,0,20
1,20,0,20
1,21,0,20
1,22,0,20
1,23,26,20
1,24,30,20
1,25,0,20
1,26,26,20
1,27,22,20
1,28,0,20
1,29,36,20
1,30,0,20
1,31,30,20
1,32,0,20
1,33,24,20
1,34,0,20
1,35,26,20
1,36,0,20
1,37,26,20
1,38,26,20
1,39,0,20
1,40,24,20
1,41,40,20
1,42,0,20
1,43,32,20
1,44,0,20
1,45,34,20
1,46,0,20
1,47,28,20
1,48,0,20
1,49,0,20
1,50,0,20
1,51,22,20
1,52,26,20
1,53,26,20
1,54,0,20
1,55,42,20
1,56,0,20
1,57,34,20
1,58,64,20
1,59,0,20
1,60,48,20
1,61,0,20
1,62,0,20
1,63,56,20
1,64,0,20
1,65,34,20
1,66,46,20
1,67,34,20
1,68,0,20
1,69,0,20
1,70,46,20
1,71,0,20
1,72,24,20
1,73,24,20
1,74,0,20
1,75,0,20
1,76,0,20
1,77,34,20
1,78,0,20
1,79,0,20
1,80,0,20
1,81,26,20
1,82,26,20
1,83,0,20
1,84,0,20
0.8869047619047619
